,role,company_name,work_experience,location,skills,post_date,link
1633,Full Stack Developer,IBM,6-10 Yrs,Bangalore/Bengaluru,"['Web development', 'Javascript', 'Data structures', 'Middleware', 'Python', 'Software design', 'CSS', 'Algorithms']",9 Days Ago,https://www.naukri.com/job-listings-full-stack-developer-ibm-india-pvt-limited-bangalore-bengaluru-6-to-10-years-170124911474
1634,Data Scientist (hr026@hcapital.in) immediate joiner,A client of Hcapital,4-9 Yrs,"Bangalore Rural, Karnataka","['Data Science', 'Data scientist', 'Machine Learning', 'Machine', 'Science', 'Data']",9 Days Ago,https://www.naukri.com/job-listings-data-scientist-hr026-hcapital-in-immediate-joiner-hcapital-bangalore-rural-karnataka-4-to-9-years-170124011472
1635,Senior Data Analyst,Alpha Synopsys Inc,15-20 Yrs,"Hybrid - Hyderabad, Telangana","['Databricks', 'SQL', 'Python', 'version control like GitHub and MLflow', 'multivariate time series', 'forecasting', 'AWS services', 'statistics']",9 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-alpha-synopsys-inc-hyderabad-telangana-15-to-20-years-170124011466
1636,Data Analyst (hr026@hcapital.in) only from Bank & NBFC,A client of hcapital,3-8 Yrs,Mumbai (All Areas)(Bandra Kurla Complex),"['Data analyst', 'Data analysis', 'Data Analytics', 'Analytics', 'Data', 'NBFC', 'Analysis']",9 Days Ago,https://www.naukri.com/job-listings-data-analyst-hr026-hcapital-in-only-from-bank-nbfc-hcapital-mumbai-all-areas-3-to-8-years-170124011423
1637,MIS Specialist,Alt Tech,1-6 Yrs,"Hosur, Tamil Nadu","['Advanced Excel', 'Countif', 'Query', 'Formulas', 'Telugu', 'Filters', 'Pivots', 'VLOOKUP']",9 Days Ago,https://www.naukri.com/job-listings-mis-specialist-varun-kumar-hosur-tamil-nadu-1-to-6-years-170623003652
1638,Head Analytics,Indypay Technologies,9-12 Yrs,"Mumbai, Maharashtra, Bengaluru, Karnataka","['Artificial Intelligence', 'Machine Learning', 'Analytics', 'Predictive Analytics', 'Data Science', 'Advanced Analytics', 'Deep Learning', 'Data']",9 Days Ago,https://www.naukri.com/job-listings-head-analytics-indypay-technologies-mumbai-maharashtra-bengaluru-karnataka-9-to-12-years-170124011268
1639,Senior Product Analyst,Leading IT Services & Consulting Group,8-13 Yrs,"Pune, Mumbai (All Areas)","['Analytical tools', 'Data Analysis', 'Data Visualization', 'Cross-functional collaboration', 'Senior', 'Collaboration', 'Analytical', 'Tools']",9 Days Ago,https://www.naukri.com/job-listings-senior-product-analyst-darsia-pune-mumbai-all-areas-8-to-13-years-171023009187
1640,LEAD Production Operator,A Global Battery Technology Company,2-7 Yrs,"Dahej, Gujarat","['Mixing', 'Why-why Analysis', 'Production Operations', 'compounding', 'extrusion', 'Quality Management', 'Training', 'Troubleshooting Skills']",9 Days Ago,https://www.naukri.com/job-listings-lead-production-operator-nextup-hr-consulting-dahej-gujarat-2-to-7-years-170124011242
1641,Sr. Manager- Analytics & AI,Awarded and Renowned Engineering & Construction Group,7-12 Yrs,Hyderabad,"['Big Data Frameworks', 'AI', 'AWS', 'Statistical Techniques', 'Python', 'Management', 'Data', 'Framework']",9 Days Ago,https://www.naukri.com/job-listings-sr-manager-analytics-ai-darsia-hyderabad-7-to-12-years-290923008035
1642,Data Engineer,Predikly Technologies,3-6 Yrs,"Hybrid - Pune, Maharashtra","['ETL processes', 'Azure Data Factory', 'Synapse', 'Snowflake', 'Azure Blob Storage', 'Azure SQL Database', 'Azure Data Lake Storage', 'Pipeline']",9 Days Ago,https://www.naukri.com/job-listings-data-engineer-predikly-technologies-pune-maharashtra-3-to-6-years-170124011226
1643,Sr.Sql Developer,Intellinez Systems,5-7 Yrs,"Mohali, Punjab, Chandigarh, Chandigarh","['Sql server', 'SQL Database', 'Etl Process', 'Server', 'ETL', 'DBMS', 'Development', 'SQL']",9 Days Ago,https://www.naukri.com/job-listings-sr-sql-developer-intellinez-systems-mohali-punjab-chandigarh-chandigarh-5-to-7-years-170124011211
1644,Python Developer,Mumba Technologies,3-5 Yrs,Remote,"['python', 'Snowflake', 'Statistical Analyses', 'LLM', 'Numpy', 'Pandas', 'SQL', 'Statistics']",9 Days Ago,https://www.naukri.com/job-listings-python-developer-mumba-technologies-bengaluru-3-to-5-years-170124011149
1645,EY India is hiring For SAS Developer- Immediate,EY,6-8 Yrs,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka, Mumbai (All Areas)","['Predictive Modeling', 'SAS Macros', 'Data Mining', 'SAS Programming', 'Statistical Programming', 'Base SAS', 'SAS SQL', 'Statistical Modeling']",9 Days Ago,https://www.naukri.com/job-listings-ey-india-is-hiring-for-sas-developer-immediate-ey-pune-maharashtra-bangalore-rural-karnataka-mumbai-all-areas-6-to-8-years-170124011145
1646,Sr. Consultant- HR,Top IT Services and Consulting Group,6-11 Yrs,"New Delhi, Delhi / NCR","['HR Admin & Operations', 'Employees MIS', 'Data Analysis', 'HR Workflow', 'Data', 'HR operations', 'Operations', 'Hrsd']",9 Days Ago,https://www.naukri.com/job-listings-sr-consultant-hr-darsia-new-delhi-delhi-ncr-6-to-11-years-041023009124
1647,Data Engineer,Optimum Solutions,3-6 Yrs,"Bangalore Rural, Karnataka","['DataEngineer', 'Data Pipeline', 'AWS', 'Data Engineering', 'Data', 'Pipeline']",9 Days Ago,https://www.naukri.com/job-listings-data-engineer-optimum-solutions-bangalore-rural-karnataka-3-to-6-years-170124011079
1648,Etl Tester,Datametica,3-8 Yrs,"Pune, Maharashtra","['ETL Testing', 'Data Warehouse Testing', 'SQL Scripting', 'Warehouse', 'Data', 'Scripting', 'SQL', 'Data warehousing']",9 Days Ago,https://www.naukri.com/job-listings-etl-tester-datametica-solutions-pune-maharashtra-3-to-8-years-170124011063
1649,Operations Manager Assistant Internship,Opsio,,Bengaluru(Bellandur),[],Starts within 1 month,https://www.naukri.com/job-listings-operations-manager-assistant-internship-opsio-bengaluru-0-to-1-years-291223005609
1650,Data Processing Associate,GfK,1-3 Yrs,"Hybrid - New Delhi, Delhi, Gurugram, Haryana, Delhi / NCR","['Quantum', 'dimension TOM', 'SPSS', 'Dimension', 'Data processing', 'Processing', 'Process', 'Data']",9 Days Ago,https://www.naukri.com/job-listings-data-processing-associate-gfk-new-delhi-delhi-gurugram-haryana-delhi-ncr-1-to-3-years-170124011053
1651,Website Head- Midday,Midday Infomedia,18-21 Yrs,"Mumbai, Maharashtra","['editorial', 'Content Management', 'Editing', 'Media', 'editorial operations', 'editor', 'Publishing', 'Journalism']",9 Days Ago,https://www.naukri.com/job-listings-website-head-midday-midday-infomedia-mumbai-maharashtra-18-to-21-years-170124011019
1652,Direct Taxation- Senior Associate- Leading Tax Advisory Firm,Munsar Services,2-4 Yrs,"Hybrid - Gurugram, Haryana, Delhi / NCR","['Corporate Taxation', 'Direct Tax', 'GAAR', 'Taxation', 'Advisory', 'Corporate', 'Senior', 'Direct']",9 Days Ago,https://www.naukri.com/job-listings-direct-taxation-senior-associate-leading-tax-advisory-firm-munsar-services-gurugram-haryana-delhi-ncr-2-to-4-years-170124011011
1653,MIS Executive,Boost Tech,1-3 Yrs,"Bahadurgarh, Haryana","['Advanced Excel', 'SUMIF', 'Mis Excel', 'Countif', 'VLOOKUP', 'Formulas', 'Conditional Formatting', 'HLOOKUP']",9 Days Ago,https://www.naukri.com/job-listings-mis-executive-boost-tech-bahadurgarh-haryana-1-to-3-years-161023006059
1654,Performance Marketing Executive - Andheri East,Hiringlink Talent Solutions Llp,2-7 Yrs,"Mumbai Suburban, Maharashtra","['Google Ads', 'Digital Advertising', 'Facebook Ads', 'Ppc Campaigns', 'Performance Marketing', 'Google', 'Performance', 'Marketing']",9 Days Ago,https://www.naukri.com/job-listings-performance-marketing-executive-andheri-east-hiringlink-talent-solutions-llp-mumbai-suburban-maharashtra-2-to-7-years-170124005666
1655,Transfer Pricing - Sr. Associate  - Leading Tax Firm,Munsar Services,2-4 Yrs,Hybrid - Mumbai (All Areas),"['Benchmarking', 'Advanced Pricing Agreement', 'Transfer Pricing', 'International Taxation', 'APA', 'Corporate Taxation', 'AMP', 'Direct Tax']",9 Days Ago,https://www.naukri.com/job-listings-transfer-pricing-sr-associate-leading-tax-firm-munsar-services-mumbai-all-areas-2-to-4-years-250222000034
1656,Analyst-Human resources,Heads Up For Tails,1-3 Yrs,"Gurugram, Haryana","['Power Bi', 'advanced excel', 'HR Analytics', 'Metrics', 'Analytical Skills', 'compliance HR System', 'Dashboards', 'Laws REgulations']",9 Days Ago,https://www.naukri.com/job-listings-analyst-human-resources-heads-up-for-tails-gurugram-haryana-1-to-3-years-170124010895
1657,Manager Data Visualization : ( Tableau + Python + SQL) : 7+ Yrs,MNC Group,7-12 Yrs,Remote,"['Data Analysis', 'Data Visualization', 'Data Visualization manager', 'Data Manipulation', 'Data Management', 'Data Cleansing', 'Data Analyst', 'Data Processing']",9 Days Ago,https://www.naukri.com/job-listings-manager-data-visualization-tableau-python-sql-7-yrs-hitechmind-solutions-noida-uttar-pradesh-7-to-12-years-170124010877
1658,Direct Taxation - Senior Associate - Gurgaon - Tax Advisory Firm,Munsar Services,6-8 Yrs,Hybrid - Gurgaon/Gurugram,"['direct tax', 'tax advisory', 'taxation', 'Advisory', 'Direct', 'Senior']",9 Days Ago,https://www.naukri.com/job-listings-direct-taxation-senior-associate-gurgaon-tax-advisory-firm-munsar-services-gurgaon-gurugram-6-to-8-years-280322009026
1659,"Manger, AL/ML Ops Platform",Outsystems,7-12 Yrs,Hybrid - Bengaluru,"['Team Management', 'Ops', 'Team Leadership', 'People Management', 'Machine Learning', 'Management', 'Machine', 'Leadership']",9 Days Ago,https://www.naukri.com/job-listings-manger-al-ml-ops-platform-outsystems-bengaluru-7-to-12-years-170124010794
1660,Data Analyst,Virtusa,6-11 Yrs,Qatar,"['Business Analytics', 'Data Analysis', 'Financial Analytics', 'IT Management', 'Analysis', 'Data', 'Management', 'Finance']",9 Days Ago,https://www.naukri.com/job-listings-data-analyst-virtusa-qatar-6-to-11-years-091023006546
1661,Data Science - Generative AI,VBeyond Corporation,7-12 Yrs,"Hybrid - Hyderabad, Telangana","['Natural Language Processing', 'LLM', 'Machine Learning', 'Python', 'NLP', 'Artificial Intelligence', 'Machine', 'Intelligence']",9 Days Ago,https://www.naukri.com/job-listings-data-science-generative-ai-vbeyond-corporation-hyderabad-telangana-7-to-12-years-170124010789
1662,Executive Personal Assistant To The Director,Purdrop Biochem Pvt. Ltd.,0-5 Yrs,Ahmedabad,"['Executive Support', 'Secretarial Activities', 'personal assistance', 'Executive Assistance', 'Secretarial Operations', 'Fixing Appointments', 'Ticket Booking', 'Data Management']",9 Days Ago,https://www.naukri.com/job-listings-executive-personal-assistant-to-the-director-purdrop-biochem-pvt-ltd-ahmedabad-0-to-5-years-170124010774
1663,Direct Taxation ( Litigation ) - Sr. Associate - Tax Advisory Firm,Munsar Services,2-3 Yrs,Hybrid - Mumbai (All Areas),"['Direct Tax', 'Litigation', 'ITAT', 'AAR', 'Corporate Taxation', 'international taxation', 'MAP', 'International']",9 Days Ago,https://www.naukri.com/job-listings-direct-taxation-litigation-sr-associate-tax-advisory-firm-munsar-services-mumbai-all-areas-2-to-3-years-300123000061
1664,Direct Tax - Knowledge & Solutions - Sr. Associate - Leading Tax Firm,Munsar Services,2-4 Yrs,Hybrid - Mumbai (All Areas),"['International Taxation', 'Publication Writing', 'Corporate Taxation', 'Direct Tax', 'Research', 'International', 'Corporate', 'SR']",9 Days Ago,https://www.naukri.com/job-listings-direct-tax-knowledge-solutions-sr-associate-leading-tax-firm-munsar-services-mumbai-all-areas-2-to-4-years-110422009543
1665,Finance Manager,C N N & Associates,1-3 Yrs,"Kolkata, West Bengal(Alipore)","['Accounting', 'Excel', 'Tally ERP', 'Gst Return', 'Accounts Finalisation', 'Tally', 'ERP', 'Finalisation']",9 Days Ago,https://www.naukri.com/job-listings-finance-manager-c-n-n-associates-kolkata-west-bengal-1-to-3-years-170124010724
1666,AI Engineer - Computer Vision,Digit Insurance,5-8 Yrs,"Bengaluru, Karnataka","['Regex Pattern Search', 'Opencv', 'Pandas and Numpy', 'String Manipulation', 'SQL', 'Vision', 'Computer', 'Computer vision']",9 Days Ago,https://www.naukri.com/job-listings-ai-engineer-computer-vision-digit-insurance-bengaluru-karnataka-5-to-8-years-170124010678
1667,Assistant Manager,Digit Insurance,3-6 Yrs,"Pune, Maharashtra, Mumbai (All Areas)","['Data Analysis', 'Product Management', 'Claims', 'Sales', 'Underwriting', 'Finance', 'Insurance', 'Actuarial']",9 Days Ago,https://www.naukri.com/job-listings-assistant-manager-digit-insurance-pune-maharashtra-mumbai-all-areas-3-to-6-years-170124010640
1668,Sr Digital Marketing Executive,Talent Corner Hr Services,2-7 Yrs,"Hyderabad/ Secunderabad, Telangana","['digital marketing executive', 'Search Engine Marketing', 'Pay Per Click', 'Search Engine Optimization', 'google ad certification', 'Google Analytics', 'Google AdWords', 'Webtrends']",9 Days Ago,https://www.naukri.com/job-listings-sr-digital-marketing-executive-talent-corner-hr-services-hyderabad-secunderabad-telangana-2-to-7-years-100723004983
1669,Senior Software Engineer - Quality Assurance,Cendyn,6-8 Yrs,"Hybrid - Hyderabad, Telangana, Gurugram, Haryana","['Javascript', 'Automation Testing', 'API', 'Selenium', 'JIRA', 'XML', 'Ms Sql Server Administration', 'Ci/Cd']",9 Days Ago,https://www.naukri.com/job-listings-senior-software-engineer-quality-assurance-cendyn-hyderabad-telangana-gurugram-haryana-6-to-8-years-170124010547
1670,Senior Data Scientist,Thoucentric,5-9 Yrs,"Hybrid - Bangalore Rural, Karnataka","['forecasting', 'Python', 'Predictive Modeling', 'supply chain analysis', 'demand forecasting', 'Logistic Regression', 'Linear Regression', 'Classification']",9 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-thoucentric-bangalore-rural-karnataka-5-to-9-years-170124008347
1671,Senior Data Scientist,Gramener,4-9 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru","['Text Analytics', 'Natural Language Processing', 'LLM', 'Named entity', 'Data Science', 'large language model', 'Machine Learning', 'Science']",9 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-gramener-hyderabad-chennai-bengaluru-4-to-9-years-170124010353
1672,"Data Expert - Power BI, SQL, ESG - 3+ years, Chandigarh",Crescendo Global Leadership Hiring India,3-8 Yrs,"Mohali, Punjab, Chandigarh, Chandigarh, Dharmpur, Himachal Pradesh","['Power Bi', 'ESG', 'ESG Integration', 'ESG Analytics', 'Data analysis', 'data analytics', 'Ms Power Bi', 'Data Visualization']",9 Days Ago,https://www.naukri.com/job-listings-data-expert-power-bi-sql-esg-3-years-chandigarh-crescendo-global-leadership-hiring-india-mohali-punjab-chandigarh-chandigarh-dharmpur-himachal-pradesh-3-to-8-years-150124002167
1673,Mis Executive,Yingtong Electronic Technology India Private Limit Ed,1-3 Yrs,"Noida, Uttar Pradesh","['Excel', 'MIS']",9 Days Ago,https://www.naukri.com/job-listings-mis-executive-yingtong-electronic-technology-india-private-limit-ed-noida-uttar-pradesh-1-to-3-years-170124010313
1674,HR Analyst data and reporting specialist,Charu Thakur,6-9 Yrs,Hybrid - Hyderabad/Secunderabad,"['HRIS', 'excel', 'Report Automation', 'Support reporting', 'SAP', 'MONITOR AUDIT', 'Data Management', 'Successfactors']",9 Days Ago,https://www.naukri.com/job-listings-hr-analyst-data-and-reporting-specialist-talentpull-and-infrastructure-private-limited-hyderabad-secunderabad-6-to-9-years-170124910090
1675,Audit Manager (Team Member & Team Leader) : Leading NBFC : Goregaon,Quotient Consultancy,10-15 Yrs,"Mumbai Suburban, Maharashtra","['Internal Audit', 'audit manager', 'IT Audit', 'Retail Assets', 'Retail Audit', 'Bank Audit', 'Credit Audit', 'Concurrent Audit']",9 Days Ago,https://www.naukri.com/job-listings-audit-manager-team-member-team-leader-leading-nbfc-goregaon-quotient-consultancy-mumbai-suburban-maharashtra-10-to-15-years-201023008656
1676,SCM Support For Telecom sector,TALENTPULL AND INFRASTRUCTURE PRIVATE LIMITED  ,2-6 Yrs,"Ahmedabad, Gujarat, Bangalore/ Bengaluru, Karnataka","['Telecom', 'MIS', 'SCM']",9 Days Ago,https://www.naukri.com/job-listings-scm-support-for-telecom-sector-talentpull-and-infrastructure-private-limited-ahmedabad-gujarat-bangalore-bengaluru-karnataka-2-to-6-years-170124910013
1677,Business Research and Management Information Systems (MIS) Specialist,Times Strategic Solutions Limited,1-5 Yrs,"Mumbai Suburban, Maharashtra","['Competitor Analysis', 'Business Research', 'Business Finance', 'MIS', 'CA inter', 'Data Analysis', 'Industry Research', 'Strategic Planning']",9 Days Ago,https://www.naukri.com/job-listings-business-research-and-management-information-systems-mis-specialist-times-strategic-solutions-limited-mumbai-suburban-maharashtra-1-to-5-years-170124007977
1678,Netsuite Developer,Brillminds Technologies,5-8 Yrs,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka, Mumbai (All Areas)","['Development', 'Oracle Netsuite', 'implementation', 'Oracle', 'Netsuite']",9 Days Ago,https://www.naukri.com/job-listings-netsuite-developer-brillminds-technologies-pune-maharashtra-bangalore-rural-karnataka-mumbai-all-areas-5-to-8-years-170124009928
1679,Associate Manager C&B,Tech Mahindra,4-7 Yrs,"Gurugram, Haryana","['TUPE', 'REWARDS', 'SALARY STRUCTURING', 'Management', 'Salary', 'C']",9 Days Ago,https://www.naukri.com/job-listings-associate-manager-c-b-tech-mahindra-gurugram-haryana-4-to-7-years-170124009922
1680,Bigdata Developer,Datametica,2-5 Yrs,"Pune, Maharashtra(Mundhwa)","['Hive', 'Hadoop', 'Spark', 'SQL', 'Development', 'Big Data']",9 Days Ago,https://www.naukri.com/job-listings-bigdata-developer-datametica-pune-maharashtra-2-to-5-years-170124009914
1681,Teaching Assistant Data Science,upGrad,1-2 Yrs,Remote,"['Data Science', 'teaching assistant', 'Professor Activities', 'Education', 'data scientist', 'Curriculum Designing', 'Teaching', 'Curriculum Development']",9 Days Ago,https://www.naukri.com/job-listings-teaching-assistant-data-science-upgrad-bengaluru-1-to-2-years-170124009909
1682,"Manager, Program Management",Amazon,10-20 Yrs,"Hybrid - Chennai, Tamil Nadu","['Program Management', 'Product Management', 'People Management', 'Stakeholder Management', 'Delivery Excellence', 'Service Delivery Management', 'Delivery Management', 'Excellence']",9 Days Ago,https://www.naukri.com/job-listings-manager-program-management-amazon-chennai-tamil-nadu-10-to-20-years-170124009826
